currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size per shard,messages,mode,tps,time taken for simulation,average block time per shard,wallets,transactions,total block size = block size per shard * number of shards
btc,1000,1000,1000,1000,0.01,0,628.78 seconds,4096,N/A,conventional,6.49,14 minutes 42 seconds,N/A,1000,1000,4096
btc,1000,1000,1000,1000,0.01,0,568.88 seconds,8192,N/A,conventional,14.29,7 minutes 24 seconds,N/A,1000,1000,8192
btc,1000,1000,1000,1000,0.01,2,607.48 seconds,4096,123369,sharded,13.38,6 minutes 57 seconds,400 seconds,1000,1000,8192
btc,1000,1000,1000,1000,0.01,2,619.65 seconds,8192,62186,sharded,26.03,4 minutes,400 seconds,1000,1000,16384
btc,1000,1000,1000,1000,0.01,4,696.24 seconds,4096,62434,sharded,23.17,4 minutes,288 seconds,1000,1000,16384
btc,1000,1000,1000,1000,0.01,4,592.94 seconds,8192,31217,sharded,54.4,2 minutes 33 seconds,288 seconds,1000,1000,32768
btc,1000,1000,1000,1000,0.01,8,523.80 seconds,4096,31465,sharded,61.59,2 minutes 30 seconds,220.76 seconds,1000,1000,32768
btc,1000,1000,1000,1000,0.01,8,549.44 seconds,8192,16240,sharded,113.75,1 minute 48 seconds,220.76 seconds,1000,1000,65536
btc,1000,1000,1000,1000,0.01,16,631.36 seconds,4096,16496,sharded,98.99,1 minute 48 seconds,177.48 seconds,1000,1000,65536
btc,1000,1000,1000,1000,0.01,16,560.03 seconds,8192,8248,sharded,223.2,1 minute 25 seconds,177.48 seconds,1000,1000,131072
btc,1000,1000,1000,1000,0.01,32,619.11 seconds,4096,8504,sharded,201.9,1 minute 26 seconds,147.84 seconds,1000,1000,131072
btc,1000,1000,1000,1000,0.01,32,518.97 seconds,8192,4252,sharded,481.73,1 minute 16 seconds,147.84 seconds,1000,1000,262144
btc,1000,1000,1000,1000,0.01,64,547.71 seconds,4096,4508,sharded,456.45,1 minute 17 seconds,126.48 seconds,1000,1000,262144
btc,1000,1000,1000,1000,0.01,64,397.89 seconds,8192,2254,sharded,1256.64,1 minute 11 seconds,126.48 seconds,1000,1000,524288
btc,1000,1000,1000,1000,0.01,128,729.96 seconds,4096,2510,sharded,684.97,1 minute 10 seconds,110.43 seconds,1000,1000,524288
btc,1000,1000,1000,1000,0.01,128,595.13 seconds,8192,1255,sharded,1680.3,1 minute 7 seconds,110.43 seconds,1000,1000,1048576
btc,1000,1000,1000,1000,0.01,256,561.57 seconds,4096,1511,sharded,1780.73,1 minute 8 seconds,97.97 seconds,1000,1000,1048576
btc,1000,1000,1000,1000,0.01,256,661.65 seconds,8192,1511,sharded,1511.38,1 minute 8 seconds,97.97 seconds,1000,1000,2097152
btc,1000,1000,1000,1000,0.01,512,876.80 seconds,4096,2023,sharded,1140.51,1 minute 8 seconds,88.02 seconds,1000,1000,2097152
btc,1000,1000,1000,1000,0.01,512,438.14 seconds,8192,2023,sharded,2282.35,1 minute 7 seconds,88.02 seconds,1000,1000,4194304
bch,1000,1000,1000,1000,0.01,0,616.38 seconds,32768,N/A,conventional,52.34,2 minutes 35 seconds,N/A,1000,1000,32768
bch,1000,1000,1000,1000,0.01,2,972.20 seconds,32768,16048,sharded,64.29,1 minute 49 seconds,400 seconds,1000,1000,65536
bch,1000,1000,1000,1000,0.01,4,762 seconds,32768,8056,sharded,164.04,1 minute 24 seconds,282 seconds,1000,1000,131072
bch,1000,1000,1000,1000,0.01,8,641.82 seconds,32768,4060,sharded,389.52,1 minute 13 seconds,220.76 seconds,1000,1000,262144
bch,1000,1000,1000,1000,0.01,16,796.21 seconds,32768,2062,sharded,627.98,1 minute 7 seconds,177.48 seconds,1000,1000,524288
bch,1000,1000,1000,1000,0.01,32,594.85 seconds,32768,1063,sharded,1681.1,1 minute 6 seconds,147.84 seconds,1000,1000,1048576
bch,1000,1000,1000,1000,0.01,64,1006.48 seconds,32768,1127,sharded,993.56,1 minute 7 seconds,126.48 seconds,1000,1000,2097152
bch,1000,1000,1000,1000,0.01,128,710.42 seconds,32768,1255,sharded,1407.62,1 minute 6 seconds,110.43 seconds,1000,1000,4194304
bch,1000,1000,1000,1000,0.01,256,667.16 seconds,32768,1511,sharded,1498.88,1 minute 7 seconds,97.97 seconds,1000,1000,8388608
bch,1000,1000,1000,1000,0.01,512,706.09 seconds,32768,2023,sharded,1416.24,1 minute 5 seconds,88.02 seconds,1000,1000,16777216
ltc,1000,1000,1000,1000,0.01,0,155.11 seconds,4096,N/A,conventional,26.32,14 minutes 41 seconds,N/A,1000,1000,4096
ltc,1000,1000,1000,1000,0.01,2,138.01 seconds,4096,123369,sharded,58.92,7 minutes 1 second,100 seconds,1000,1000,8192
ltc,1000,1000,1000,1000,0.01,4,154.46 seconds,4096,62434,sharded,104.43,4 minutes,72 seconds,1000,1000,16384
ltc,1000,1000,1000,1000,0.01,8,154.38 seconds,4096,31465,sharded,208.96,2 minutes 33 seconds,55.19 seconds,1000,1000,32768
ltc,1000,1000,1000,1000,0.01,16,139.38 seconds,4096,16496,sharded,448.41,1 minute 48 seconds,44.37 seconds,1000,1000,65536
ltc,1000,1000,1000,1000,0.01,32,171.66 seconds,4096,8504,sharded,728.19,1 minute 25 seconds,36.96 seconds,1000,1000,131072
